id,Runs_Scored,Extra_runs,id,Bowler,Striker,strike_position,playerout,wickets,matchdatesk,bowlingteamsk,battingteamsk,matchdate,total_runs,high_runs,bat_skill,bat_Experience,cumulative_overs,bowl_skill,bowl_experience,innings,striker_dob,bowler_dob,matchyear,striker_age,bowler_age,is2017,2013,over,spin,BowlerType,batting_hand
"598078,2,18",2,0,"598078,2,18",221,201,10.0,0,1,20130526,6,2,5/26/2013,2,False,4.0,34.0,0,58.0,200.0,2,1984,1986,2013,29,27,0,1,18,0,pace,Right-hand bat
"501252,1,05",11,1,"501252,1,05",162,2,2.0,0,0,20110508,1,8,5/8/2011,12,True,81.0,380.0,1,16.0,92.0,1,1974,1987,2011,37,24,0,0,5,1,off_spin,Right-hand bat
"419120,2,11",1,2,"419120,2,11",226,9,2.0,0,0,20100318,4,1,3/18/2010,3,False,47.0,406.0,0,5.0,18.0,2,1983,1990,2010,27,20,0,0,11,0,pace,Right-hand bat
"392187,1,06",12,0,"392187,1,06",160,158,3.0,1,0,20090418,4,1,4/18/2009,12,True,26.0,126.0,1,11.0,28.0,1,1974,1985,2009,35,24,0,0,6,0,pace,Right-hand bat
"980994,1,11",4,0,"980994,1,11",67,197,3.0,1,1,20160514,0,11,5/14/2016,4,False,15.0,88.0,0,123.0,430.0,1,1981,1981,2016,35,35,0,0,11,1,leg_spin,Right-hand bat
"1082642,2,15",6,0,"1082642,2,15",15,476,4.0,0,0,20170512,5,11,5/12/2017,6,False,9.0,38.0,0,106.0,371.0,2,1993,1970,2017,24,47,1,0,15,0,pace,Left-hand bat
"501221,2,05",5,0,"501221,2,05",258,183,3.0,1,1,20110419,7,5,4/19/2011,5,False,38.0,201.0,0,31.0,119.0,2,1974,1985,2011,37,26,0,0,5,0,pace,Right-hand bat
"392206,1,20",7,1,"392206,1,20",73,61,9.0,1,2,20090430,5,7,4/30/2009,8,False,0.0,10.0,0,101.0,320.0,1,1984,1981,2009,25,28,0,0,20,0,pace,Right-hand bat
"829788,2,02",0,0,"829788,2,02",371,400,2.0,1,1,20150505,5,6,5/5/2015,0,False,12.0,47.0,0,35.0,95.0,2,1985,1990,2015,30,25,0,0,2,0,pace,Right-hand bat
"336041,2,01",1,0,"336041,2,01",49,69,1.0,0,0,20080526,6,4,5/26/2008,1,False,1.0,10.0,0,11.0,46.0,2,1980,1980,2008,28,28,0,0,1,0,pace,Right-hand bat
"980962,2,16",12,0,"980962,2,16",418,57,1.0,0,0,20160501,11,6,5/1/2016,12,True,114.0,562.0,1,6.0,29.0,2,1975,1994,2016,41,22,0,0,16,1,leg_spin,Right-hand bat
"548348,2,20",8,1,"548348,2,20",321,109,8.0,1,1,20120428,3,2,4/28/2012,9,False,26.0,96.0,0,27.0,91.0,2,1984,1993,2012,28,19,0,0,20,0,pace,Left-hand bat
"548384,1,11",19,0,"548384,1,11",50,23,4.0,0,0,20120523,6,2,5/23/2012,19,True,37.0,179.0,1,123.0,487.0,1,1986,1974,2012,26,38,0,0,11,1,off_spin,Right-hand bat
"598056,2,14",4,0,"598056,2,14",391,166,7.0,1,0,20130508,2,10,5/8/2013,4,False,5.0,40.0,0,6.0,36.0,2,1983,1987,2013,30,26,0,1,14,0,pace,Left-hand bat
"501242,2,09",12,0,"501242,2,09",178,100,3.0,0,0,20110502,6,3,5/2/2011,12,True,67.0,337.0,1,7.0,25.0,2,1984,1990,2011,27,21,0,0,9,1,off_spin,Left-hand bat
"336011,1,14",7,5,"336011,1,14",67,6,5.0,1,0,20080505,3,1,5/5/2008,12,True,37.0,319.0,1,123.0,430.0,1,1978,1981,2008,30,27,0,0,14,1,leg_spin,Right-hand bat
"501235,2,03",2,0,"501235,2,03",66,41,2.0,1,0,20110428,0,5,4/28/2011,2,False,91.0,297.0,0,28.0,147.0,2,1985,1988,2011,26,23,0,0,3,0,pace,Right-hand bat
"829772,1,08",6,0,"829772,1,08",136,197,5.0,0,1,20150501,5,3,5/1/2015,6,False,15.0,88.0,0,121.0,442.0,1,1981,1977,2015,34,38,0,0,8,1,leg_spin,Right-hand bat
"501210,2,09",4,0,"501210,2,09",175,208,3.0,0,0,20110412,1,6,4/12/2011,4,False,55.0,331.0,0,30.0,131.0,2,1981,1979,2011,30,32,0,0,9,1,off_spin,Right-hand bat
"392197,2,02",1,0,"392197,2,02",61,133,2.0,0,1,20090425,7,6,4/25/2009,1,False,59.0,353.0,0,84.0,299.0,2,1987,1984,2009,22,25,0,0,2,0,pace,Right-hand bat
"598065,1,14",5,0,"598065,1,14",131,340,3.0,1,0,20130513,6,10,5/13/2013,5,False,5.0,53.0,0,96.0,318.0,1,1990,1989,2013,23,24,0,1,14,1,off_spin,Right-hand bat
"598023,1,01",2,0,"598023,1,01",299,17,1.0,0,0,20130417,9,10,4/17/2013,2,False,61.0,377.0,0,98.0,333.0,1,1971,1984,2013,42,29,0,1,1,0,pace,Left-hand bat
"980908,1,02",10,0,"980908,1,02",232,355,2.0,0,0,20160410,0,5,4/10/2016,10,False,12.0,99.0,0,93.0,324.0,1,1990,1985,2016,26,31,0,0,2,0,pace,Left-hand bat
"548380,2,19",4,0,"548380,2,19",151,267,8.0,1,1,20120519,0,9,5/19/2012,4,False,1.0,10.0,0,76.0,256.0,2,1978,1990,2012,34,22,0,0,19,0,pace,Left-hand bat
"392232,2,01",4,0,"392232,2,01",194,17,1.0,0,1,20090516,6,2,5/16/2009,4,False,61.0,377.0,0,143.0,432.0,2,1971,1983,2009,38,26,0,0,1,0,pace,Left-hand bat
"336003,2,03",10,0,"336003,2,03",118,7,3.0,0,0,20080430,5,1,4/30/2008,10,False,5.0,19.0,0,13.0,54.0,2,1988,1983,2008,20,25,0,0,3,0,pace,Right-hand bat
"598044,1,03",8,1,"598044,1,03",84,133,2.0,0,0,20130501,10,6,5/1/2013,9,False,59.0,353.0,0,51.0,273.0,1,1987,1988,2013,26,25,0,1,3,0,pace,Right-hand bat
"598006,1,19",2,0,"598006,1,19",232,6,3.0,0,2,20130406,5,4,4/6/2013,2,False,37.0,319.0,0,93.0,324.0,1,1978,1985,2013,35,28,0,1,19,0,pace,Right-hand bat
"548334,2,03",6,0,"548334,2,03",120,187,2.0,0,0,20120510,7,5,5/10/2012,6,False,118.0,509.0,0,38.0,148.0,2,1979,1972,2012,33,40,0,0,3,0,pace,Left-hand bat
"734002,2,03",12,0,"734002,2,03",367,46,1.0,0,0,20140511,3,0,5/11/2014,12,True,69.0,515.0,1,66.0,205.0,2,1987,1990,2014,27,24,0,0,3,0,pace,Right-hand bat
"598053,2,13",5,0,"598053,2,13",94,8,3.0,1,0,20130409,10,1,4/9/2013,5,False,144.0,646.0,0,87.0,345.0,2,1975,1986,2013,38,27,0,1,13,0,pace,Right-hand bat
"501269,1,03",9,0,"501269,1,03",14,112,2.0,0,0,20110521,3,7,5/21/2011,9,False,8.0,50.0,0,87.0,424.0,1,1974,1978,2011,37,33,0,0,3,0,pace,Right-hand bat
"336003,2,20",19,0,"336003,2,20",41,11,6.0,1,0,20080430,5,1,4/30/2008,19,True,11.0,47.0,1,5.0,23.0,2,1977,1985,2008,31,23,0,0,20,1,off_spin,Right-hand bat
"1082612,1,04",6,0,"1082612,1,04",50,100,4.0,0,0,20170420,6,3,4/20/2017,6,False,67.0,337.0,0,123.0,487.0,1,1984,1974,2017,33,43,1,0,4,1,off_spin,Left-hand bat
"335995,2,13",8,0,"335995,2,13",56,74,2.0,1,0,20080424,7,4,4/24/2008,8,False,27.0,130.0,0,20.0,88.0,2,1985,1987,2008,23,21,0,0,13,1,off_spin,Left-hand bat
"419139,2,10",2,0,"419139,2,10",222,212,7.0,1,0,20100331,5,4,3/31/2010,2,False,5.0,27.0,0,4.0,23.0,2,1981,1976,2010,29,34,0,0,10,1,leg_spin,Right-hand bat
"335996,1,20",12,1,"335996,1,20",80,66,8.0,2,2,20080425,6,3,4/25/2008,13,True,3.0,13.0,1,74.0,237.0,1,1988,1984,2008,20,24,0,0,20,0,pace,Right-hand bat
"392190,2,10",3,0,"392190,2,10",121,6,6.0,0,0,20090420,2,1,4/20/2009,3,False,37.0,319.0,0,63.0,256.0,2,1978,1977,2009,31,32,0,0,10,1,off_spin,Right-hand bat
"501271,2,18",13,0,"501271,2,18",21,162,3.0,0,0,20110522,2,1,5/22/2011,13,True,100.0,414.0,1,27.0,152.0,2,1987,1978,2011,24,33,0,0,18,1,off_spin,Left-hand bat
"734036,1,15",13,0,"734036,1,15",346,57,3.0,0,2,20140523,5,6,5/23/2014,13,True,114.0,562.0,1,48.0,165.0,1,1975,1990,2014,39,24,0,0,15,0,pace,Right-hand bat
"829722,2,04",2,1,"829722,2,04",395,207,2.0,0,1,20150412,3,6,4/12/2015,3,False,4.0,41.0,0,17.0,65.0,2,1985,1990,2015,30,25,0,0,4,0,pace,Right-hand bat
"598018,1,14",8,0,"598018,1,14",325,40,2.0,0,1,20130414,10,0,4/14/2013,8,False,106.0,597.0,0,16.0,44.0,1,1978,1992,2013,35,21,0,1,14,0,pace,Left-hand bat
"336024,1,03",11,1,"336024,1,03",126,25,2.0,0,0,20080528,4,3,5/28/2008,12,True,11.0,45.0,1,68.0,227.0,1,1977,1987,2008,31,21,0,0,3,0,pace,Right-hand bat
"729290,2,17",2,0,"729290,2,17",166,104,6.0,1,0,20140418,10,4,4/18/2014,2,False,34.0,188.0,0,50.0,174.0,2,1984,1983,2014,30,31,0,0,17,1,leg_spin,Right-hand bat
"548369,1,19",12,1,"548369,1,19",451,199,5.0,0,0,20120512,2,5,5/12/2012,13,True,7.0,39.0,1,22.0,62.0,1,1987,1981,2012,25,31,0,0,19,0,pace,Right-hand bat
"734002,2,04",19,0,"734002,2,04",357,40,2.0,0,0,20140511,3,0,5/11/2014,19,True,106.0,597.0,1,56.0,187.0,2,1978,1985,2014,36,29,0,0,4,0,pace,Left-hand bat
"335988,1,11",19,0,"335988,1,11",67,19,3.0,0,0,20080419,3,2,4/19/2008,19,True,59.0,308.0,1,123.0,430.0,1,1981,1981,2008,27,27,0,0,11,1,leg_spin,Left-hand bat
"1082636,2,09",5,0,"1082636,2,09",470,40,4.0,1,0,20170507,1,0,5/7/2017,5,False,106.0,597.0,0,5.0,17.0,2,1978,1986,2017,39,31,1,0,9,0,pace,Left-hand bat
"829802,2,19",4,2,"829802,2,19",364,350,8.0,1,2,20150510,2,4,5/10/2015,6,False,15.0,37.0,0,76.0,259.0,2,1994,1989,2015,21,26,0,0,19,0,pace,Right-hand bat
"598046,2,06",9,0,"598046,2,06",364,100,3.0,0,1,20130502,2,3,5/2/2013,9,False,67.0,337.0,0,76.0,259.0,2,1984,1989,2013,29,24,0,1,6,0,pace,Left-hand bat
"419129,2,15",5,0,"419129,2,15",31,33,7.0,0,1,20100324,4,3,3/24/2010,5,False,9.0,44.0,0,42.0,190.0,2,1970,1981,2010,40,29,0,0,15,1,off_spin,Right-hand bat
"548385,2,16",8,0,"548385,2,16",186,322,8.0,2,1,20120525,2,5,5/25/2012,8,False,8.0,39.0,0,46.0,182.0,2,1979,1986,2012,33,26,0,0,16,1,off_spin,Left-hand bat
"980954,1,09",7,0,"980954,1,09",35,306,3.0,0,0,20160429,12,11,4/29/2016,7,False,50.0,226.0,0,83.0,325.0,1,1981,1985,2016,35,31,0,0,9,1,off_spin,Right-hand bat
"335996,1,16",8,0,"335996,1,16",71,26,3.0,0,0,20080425,6,3,4/25/2008,8,False,45.0,251.0,0,118.0,341.0,1,1981,1980,2008,27,28,0,0,16,0,pace,Left-hand bat
"734008,2,10",2,0,"734008,2,10",309,147,1.0,0,1,20140513,4,2,5/13/2014,2,False,73.0,309.0,0,27.0,96.0,2,1987,1990,2014,27,24,0,0,10,0,pace,Right-hand bat
"598025,1,17",8,0,"598025,1,17",29,19,1.0,0,0,20130418,5,2,4/18/2013,8,False,59.0,308.0,0,89.0,345.0,1,1981,1988,2013,32,25,0,1,17,0,pace,Left-hand bat
"598070,1,15",5,2,"598070,1,15",39,362,6.0,0,0,20130517,4,10,5/17/2013,7,False,8.0,40.0,0,63.0,252.0,1,1991,1981,2013,22,32,0,1,15,0,pace,Right-hand bat
"829786,2,09",3,1,"829786,2,09",284,216,5.0,0,1,20150504,0,10,5/4/2015,4,False,23.0,110.0,0,3.0,13.0,2,1977,1981,2015,38,34,0,0,9,0,pace,Left-hand bat
